Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Razor + unique peptides 1	Razor + unique peptides 2	Unique peptides 1	Unique peptides 2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 11	Fraction 12	Fraction 13	Q-value	Score	Identification type 1	Identification type 2	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Intensity	Intensity 1	Intensity 2	iBAQ	iBAQ 1	iBAQ 2	LFQ intensity 1	LFQ intensity 2	MS/MS count 1	MS/MS count 2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000034412	CON__ENSEMBL:ENSBTAP00000034412	5	5	5		1	5	5	5	5	2	5	2	5	2	38.2	38.2	38.2	22.336	199	199	5.86			5			2	0	21.715	By MS/MS	By MS/MS	38.2	11.6	77639000	63016000	14623000	5972300	4847400	1124800	10587000	0	5	2	7			+	0	1457;5901;17217;18585;28780	True;True;True;True;True	1556;6316;18391;20081;31039	3718;3719;14209;41451;45201;70263;70264	3532;3533;13576;39889;43573;67796;67797	3533;13576;39889;43573;67796		
CON__ENSEMBL:ENSP00000377550;CON__Q2M2I5;CON__P35900;CON__Q9D312;CON__Q8N1A0;CON__Q9UE12;CON__Q15323;CON__Q92764;CON__Q14532;CON__A2AB72;CON__Q497I4;CON__O76015;CON__O76013	CON__ENSEMBL:ENSP00000377550	12;4;2;2;1;1;1;1;1;1;1;1;1	4;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0		13	12	4	0	9	9	3	2	0	0	21.2	9.5	0	45.771	420	420;525;424;431;295;416;416;425;448;453;455;456;467	5.8	2		1	1		1	0	15.039	By MS/MS	By MS/MS	19.3	16.7	15451000	3659200	11792000	594290	140740	453550	0	2385400	3	2	5			+	1	979;1504;10598;14178;14179;14886;15692;19061;20934;20935;26104;27752	True;False;True;False;False;False;True;False;False;False;False;True	1042;1605;11336;15162;15163;15910;16757;20617;20618;22614;22615;28135;29905	2482;2483;3873;3874;3875;3876;3877;3878;25273;34304;34305;34306;34307;34308;34309;34310;34311;34312;35871;37841;46395;46396;46397;46398;50985;50986;50987;50988;50989;50990;50991;50992;50993;50994;50995;50996;50997;50998;50999;51000;51001;63460;67666	2361;2362;3693;3694;3695;3696;3697;3698;24330;33122;33123;33124;33125;33126;33127;33128;33129;33130;34598;36493;44750;44751;44752;44753;49132;49133;49134;49135;49136;49137;49138;49139;49140;49141;49142;49143;49144;49145;49146;49147;61176;65300	2361;3696;24330;33122;33130;34598;36493;44753;49133;49141;61176;65300	0	247
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386;CON__Q61726	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386;CON__Q61726	4;4;4;4;4;3	3;3;3;3;3;2	3;3;3;3;3;2	;;;;;	6	4	3	3	2	4	1	3	1	3	7.8	6.4	6.4	53.5	486	486;493;493;505;507;479	8.5	1			3			0	4.3512	By MS/MS	By MS/MS	3.7	7.8	2612500	578420	2034100	84275	18659	65616	0	2034100	1	3	4			+	2	5055;7838;14276;25517	True;False;True;True	5418;8409;15262;27494	12249;12250;18908;18909;18910;18911;34515;61932	11701;11702;18142;18143;18144;18145;33318;59670	11702;18142;33318;59670		
CON__O95678	CON__O95678	16	1	0		1	16	1	0	13	12	1	0	0	0	21.6	2	0	59.504	551	551	2		1					1	-2	By MS/MS	By matching	16.2	17.4	39536000	39536000	0	1317900	1317900	0	11981000	0	1	0	1	+		+	3	4780;7390;7391;7838;7839;13726;14338;14339;15809;19244;19766;23869;28707;29855;29856;29864	False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False	5121;7925;7926;8409;8410;14677;15328;15329;16877;20823;21395;25737;30961;32181;32182;32190	11563;17834;17835;17836;17837;17838;17839;17840;17841;17842;17843;17844;17845;17846;17847;17848;17849;17850;18908;18909;18910;18911;18912;33116;33117;33118;33119;33120;33121;33122;33123;33124;33125;33126;33127;34651;34652;34653;34654;34655;34656;38103;38104;38105;38106;38107;38108;46941;46942;46943;46944;46945;46946;46947;46948;46949;46950;46951;46952;46953;48332;57974;57975;57976;70072;70073;70074;72805;72806;72807;72808;72809;72810;72811;72812;72813;72814;72815;72816;72817;72818;72845;72846;72847;72848;72849;72850	11058;17065;17066;17067;17068;17069;17070;17071;17072;17073;17074;17075;17076;17077;17078;17079;17080;17081;17082;18142;18143;18144;18145;18146;31963;31964;31965;31966;31967;31968;31969;33452;33453;33454;33455;33456;36731;36732;36733;36734;36735;36736;45270;45271;45272;45273;45274;45275;45276;45277;45278;45279;45280;46627;55823;67615;67616;70271;70272;70273;70274;70275;70276;70277;70278;70279;70280;70306;70307;70308	11058;17066;17077;18142;18146;31969;33452;33456;36731;45280;46627;55823;67616;70271;70279;70306	1	370
CON__P00761	CON__P00761	4	4	4		1	4	4	4	3	4	3	4	3	4	25.1	25.1	25.1	24.409	231	231	6.73	12	8	4	10	9	5	0	18.922	By MS/MS	By MS/MS	16.5	25.1	51694000000	23057000000	28637000000	4699500000	2096100000	2603400000	8291500000	6925800000	27	30	57			+	4	12218;15162;17182;26903	True;True;True;True	13049;16194;18355;29004	29341;29342;36459;36460;36461;36462;36463;41365;41366;41367;41368;41369;41370;65478;65479;65480;65481;65482;65483;65484;65485;65486;65487;65488;65489;65490;65491;65492;65493;65494;65495;65496;65497;65498;65499;65500;65501;65502;65503;65504;65505;65506;65507;65508;65509;65510;65511;65512	28351;35167;35168;35169;35170;35171;35172;39806;39807;39808;39809;39810;39811;63168;63169;63170;63171;63172;63173;63174;63175;63176;63177;63178;63179;63180;63181;63182;63183;63184;63185;63186;63187;63188;63189;63190;63191;63192;63193;63194;63195;63196;63197;63198;63199;63200;63201;63202;63203;63204;63205;63206;63207;63208;63209;63210;63211;63212	28351;35172;39806;63205		
CON__P02533;CON__Q6IFX2;CON__P19001;CON__Q61782	CON__P02533	29;13;5;4	24;12;2;4	9;4;0;1		4	29	24	9	26	23	21	18	9	7	62.3	57	28.6	51.621	472	472;452;403;93	6.43	14	17	16	9	12	15	0	155.55	By MS/MS	By MS/MS	60	50	1216100000	665430000	550620000	41933000	22946000	18987000	145470000	150110000	37	30	67			+	5	529;1504;2166;2470;3271;3524;3525;4956;6986;6987;9990;10089;12410;12468;12885;14178;14453;14455;14886;15808;18524;19063;20870;22443;25546;26104;27950;29103;29104	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;False;False	567;568;1605;2344;2662;3510;3780;3781;5310;7499;7500;10702;10703;10803;13259;13318;13786;15162;15454;15456;15910;16876;19991;20621;20622;22546;24209;27526;28135;30130;31384;31385;31386;31387	1393;1394;1395;1396;3873;3874;3875;3876;3877;3878;5538;5539;5540;5541;6243;6244;6245;6246;8130;8695;8696;8697;8698;8699;8700;8701;12027;16879;16880;16881;16882;16883;16884;16885;23857;23858;23859;23860;23861;23862;23863;24087;24088;24089;24090;24091;29859;29965;31031;31032;31033;34304;34305;34306;34307;34308;34309;34921;34922;34923;34924;34925;34926;34927;34928;34929;34930;34936;34937;34938;34939;34940;34941;34942;34943;34944;34945;34946;35871;38097;38098;38099;38100;38101;38102;44996;46424;46425;46426;46427;46428;50832;54531;54532;54533;54534;54535;54536;62014;62015;62016;62017;62018;62019;62020;63460;68162;68163;68164;68165;71027;71028;71029;71030;71031;71032;71033;71034;71035;71036;71037;71038;71039;71040;71041;71042;71043;71044;71045;71046;71047;71048;71049;71050	1322;1323;1324;1325;3693;3694;3695;3696;3697;3698;5271;5272;5273;5274;5925;5926;5927;7744;8290;8291;8292;8293;8294;8295;8296;11484;16137;16138;16139;16140;16141;16142;16143;22973;22974;22975;22976;22977;22978;23197;23198;23199;23200;28841;28943;29973;29974;29975;33122;33123;33124;33125;33126;33127;33128;33129;33706;33707;33708;33709;33710;33711;33712;33717;33718;33719;33720;33721;33722;33723;33724;33725;34598;36727;36728;36729;36730;43367;44774;44775;44776;44777;48993;52486;52487;59747;59748;59749;61176;65781;65782;65783;65784;68555;68556;68557;68558;68559;68560;68561;68562;68563;68564;68565;68566;68567;68568;68569;68570;68571;68572;68573;68574	1323;3696;5274;5927;7744;8291;8296;11484;16141;16143;22973;23198;28841;28943;29974;33122;33708;33724;34598;36728;43367;44777;48993;52486;59749;61176;65784;68569;68571	2;3;4;5;6	119;212;237;257;272
CON__P02538;CON__Q8VED5	CON__P02538	32;9	16;2	1;0		2	32	16	1	27	26	12	12	1	1	52.7	35.6	1.8	60.044	564	564;531	6.73	11	9	5	10	6	8	0	54.955	By MS/MS	By MS/MS	45.4	42.2	400180000	199660000	200520000	13339000	6655200	6684000	66258000	63863000	18	16	34			+	6	577;1211;1847;2312;2576;7390;7391;7838;7839;10017;10128;12845;13726;14338;14339;15809;19234;19244;19765;20539;20711;21319;22699;23869;23890;24708;26536;28707;29855;29856;29864;30533	True;True;True;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;False;False;True;True	620;1291;1967;2498;2769;7925;7926;8409;8410;10730;10846;13740;14677;15328;15329;16877;20813;20823;21394;22199;22380;23022;24480;25737;25761;26624;28602;30961;32181;32182;32190;32911	1512;1513;1514;1515;1516;1517;3074;3075;3076;3077;3078;3079;4710;5879;5880;5881;5882;5883;5884;6461;17834;17835;17836;17837;17838;17839;17840;17841;17842;17843;17844;17845;17846;17847;17848;17849;17850;18908;18909;18910;18911;18912;23938;23939;23940;23941;24187;24188;30938;30939;30940;30941;33116;33117;33118;33119;33120;33121;33122;33123;33124;33125;33126;33127;34651;34652;34653;34654;34655;34656;38103;38104;38105;38106;38107;38108;46903;46904;46905;46906;46907;46908;46909;46910;46911;46912;46913;46914;46915;46916;46917;46941;46942;46943;46944;46945;46946;46947;46948;46949;46950;46951;46952;46953;48330;48331;50090;50091;50092;50093;50472;50473;50474;50475;51914;55114;55115;55116;57974;57975;57976;58037;58038;59906;59907;59908;59909;59910;59911;59912;64444;64445;70072;70073;70074;72805;72806;72807;72808;72809;72810;72811;72812;72813;72814;72815;72816;72817;72818;72845;72846;72847;72848;72849;72850;74456	1441;1442;1443;1444;1445;2916;2917;2918;4479;5589;5590;5591;5592;5593;6128;17065;17066;17067;17068;17069;17070;17071;17072;17073;17074;17075;17076;17077;17078;17079;17080;17081;17082;18142;18143;18144;18145;18146;23054;23055;23294;23295;29890;29891;29892;29893;31963;31964;31965;31966;31967;31968;31969;33452;33453;33454;33455;33456;36731;36732;36733;36734;36735;36736;45237;45238;45239;45240;45241;45242;45243;45244;45245;45246;45247;45248;45249;45270;45271;45272;45273;45274;45275;45276;45277;45278;45279;45280;46626;48293;48294;48295;48656;48657;48658;48659;50025;53047;53048;53049;55823;55886;55887;57682;57683;57684;57685;57686;62174;67615;67616;70271;70272;70273;70274;70275;70276;70277;70278;70279;70280;70306;70307;70308;71899	1444;2917;4479;5592;6128;17066;17077;18142;18146;23054;23295;29893;31969;33452;33456;36731;45242;45280;46626;48295;48657;50025;53048;55823;55886;57682;62174;67616;70271;70279;70306;71899	7;8	309;322
CON__P02768-1	CON__P02768-1	5	1	1		1	5	1	1	4	5	0	1	0	1	8.2	2	2	69.366	609	609	11				1			0.0038842	2.1454	By matching	By MS/MS	6.2	8.2	552000	0	552000	15333	0	15333	0	552000	0	1	1			+	7	3246;14089;17704;30062;30241	False;False;False;True;False	3485;15069;18905;32401;32591	8077;8078;8079;8080;8081;34033;34034;34035;34036;34037;34038;34039;34040;34041;42539;42540;42541;42542;42543;73310;73734;73735;73736;73737;73738	7690;7691;7692;32852;32853;32854;32855;32856;32857;32858;40981;40982;70766;71187;71188;71189;71190;71191	7691;32852;40981;70766;71188		
CON__P02769	CON__P02769	40	40	36		1	40	40	36	32	39	32	39	28	35	70.8	70.8	64.6	69.293	607	607	7.59	28	31	27	29	44	35	0	198.39	By MS/MS	By MS/MS	59.8	70.8	3628200000	1193400000	2434800000	90705000	29834000	60871000	345960000	659400000	63	84	147			+	8	652;2638;3240;3246;3718;5283;6965;7243;7244;7245;7781;8460;11142;13920;14089;14330;14596;15089;15186;15601;15664;17157;17635;17704;17741;18395;20697;20949;21366;21367;21591;22861;22862;23258;24928;26497;27639;30060;30241;30279	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	697;2831;3479;3485;3987;5659;7475;7767;7768;7769;8349;9064;11906;14885;15069;15320;15604;16120;16219;16660;16728;18330;18834;18905;18944;19813;22366;22629;23075;23076;23312;24656;24657;25075;26860;28557;28558;29786;32399;32591;32637	1684;1685;1686;1687;1688;1689;6602;6603;6604;6605;6606;8060;8061;8062;8063;8064;8065;8077;8078;8079;8080;8081;9141;9142;9143;9144;12761;12762;16810;16811;16812;16813;17430;17431;17432;17433;17434;17435;17436;17437;18775;18776;18777;18778;20340;20341;20342;20343;20344;26670;26671;26672;26673;26674;26675;26676;33598;33599;33600;33601;34033;34034;34035;34036;34037;34038;34039;34040;34041;34627;34628;34629;34630;35219;36301;36302;36303;36304;36514;36515;36516;36517;36518;36519;37547;37548;37549;37550;37551;37552;37553;37554;37555;37556;37557;37771;37772;41326;41327;41328;42380;42381;42382;42383;42384;42385;42539;42540;42541;42542;42543;42632;42633;42634;42635;42636;44584;44585;44586;44587;44588;44589;50446;50447;50448;50449;50450;51032;51033;51034;51035;51036;51037;52045;52046;52047;52048;52049;52050;52560;52561;52562;52563;52564;52565;55503;55504;55505;55506;55507;55508;55509;55510;55511;56520;56521;56522;56523;56524;56525;60438;60439;60440;60441;60442;60443;60444;60445;60446;64359;64360;67345;67346;67347;67348;67349;67350;73303;73304;73305;73306;73307;73308;73734;73735;73736;73737;73738;73837;73838;73839;73840;73841;73842	1595;1596;1597;1598;1599;1600;6266;6267;6268;7676;7677;7678;7690;7691;7692;8726;8727;12177;16077;16078;16663;16664;16665;16666;16667;16668;16669;16670;18005;18006;18007;19558;19559;19560;25750;25751;25752;25753;25754;25755;32436;32437;32438;32852;32853;32854;32855;32856;32857;32858;33429;33430;33980;35020;35021;35227;35228;35229;35230;35231;36230;36231;36232;36233;36234;36235;36236;36237;36238;36239;36429;39768;40820;40821;40822;40823;40824;40825;40981;40982;41070;41071;41072;42959;42960;42961;42962;42963;48632;48633;48634;48635;49174;49175;49176;49177;50166;50167;50168;50169;50170;50639;50640;50641;50642;50643;50644;53418;53419;53420;53421;53422;53423;53424;53425;53426;54409;54410;54411;54412;54413;54414;58178;58179;58180;58181;58182;58183;58184;58185;58186;62084;62085;64995;64996;64997;70759;70760;70761;70762;70763;70764;71187;71188;71189;71190;71191;71286;71287;71288;71289;71290;71291;71292;71293	1595;6266;7678;7691;8726;12177;16077;16664;16669;16670;18005;19560;25752;32438;32852;33429;33980;35020;35228;36232;36429;39768;40823;40981;41071;42963;48633;49177;50167;50170;50644;53418;53421;54411;58183;62084;64995;70763;71188;71293	9;10	469;571
CON__P04259	CON__P04259	30	1	1		1	30	1	1	27	23	1	0	1	0	50.2	3	3	59.998	564	564	1	1						1	-2	By MS/MS	By matching	45.4	36.7	2124300	2124300	0	70809	70809	0	1300800	0	1	0	1	+		+	9	577;1847;2312;2576;2659;7390;7391;7838;10017;10128;12845;13726;14338;14339;15809;19234;19244;19765;20539;20711;22698;23869;23890;24708;26536;28707;29855;29856;29864;30533	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	620;1967;2498;2769;2853;7925;7926;8409;10730;10846;13740;14677;15328;15329;16877;20813;20823;21394;22199;22380;24479;25737;25761;26624;28602;30961;32181;32182;32190;32911	1512;1513;1514;1515;1516;1517;4710;5879;5880;5881;5882;5883;5884;6461;6652;17834;17835;17836;17837;17838;17839;17840;17841;17842;17843;17844;17845;17846;17847;17848;17849;17850;18908;18909;18910;18911;23938;23939;23940;23941;24187;24188;30938;30939;30940;30941;33116;33117;33118;33119;33120;33121;33122;33123;33124;33125;33126;33127;34651;34652;34653;34654;34655;34656;38103;38104;38105;38106;38107;38108;46903;46904;46905;46906;46907;46908;46909;46910;46911;46912;46913;46914;46915;46916;46917;46941;46942;46943;46944;46945;46946;46947;46948;46949;46950;46951;46952;46953;48330;48331;50090;50091;50092;50093;50472;50473;50474;50475;55112;55113;57974;57975;57976;58037;58038;59906;59907;59908;59909;59910;59911;59912;64444;64445;70072;70073;70074;72805;72806;72807;72808;72809;72810;72811;72812;72813;72814;72815;72816;72817;72818;72845;72846;72847;72848;72849;72850;74456	1441;1442;1443;1444;1445;4479;5589;5590;5591;5592;5593;6128;6310;17065;17066;17067;17068;17069;17070;17071;17072;17073;17074;17075;17076;17077;17078;17079;17080;17081;17082;18142;18143;18144;18145;23054;23055;23294;23295;29890;29891;29892;29893;31963;31964;31965;31966;31967;31968;31969;33452;33453;33454;33455;33456;36731;36732;36733;36734;36735;36736;45237;45238;45239;45240;45241;45242;45243;45244;45245;45246;45247;45248;45249;45270;45271;45272;45273;45274;45275;45276;45277;45278;45279;45280;46626;48293;48294;48295;48656;48657;48658;48659;53044;53045;53046;55823;55886;55887;57682;57683;57684;57685;57686;62174;67615;67616;70271;70272;70273;70274;70275;70276;70277;70278;70279;70280;70306;70307;70308;71899	1444;4479;5592;6128;6310;17066;17077;18142;23054;23295;29893;31969;33452;33456;36731;45242;45280;46626;48295;48657;53046;55823;55886;57682;62174;67616;70271;70279;70306;71899	7;8	309;322
