Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_desc,Log2 H/L,Log10 (Int H*L),Group,Glycosome status ,log2_ms_dig,log2_ms_tx,log10_int_dig,log10_int_tx,log2_ibaq_dig,log2_ibag_tx,log2_lfq_dig,log2_lfq_tx,log2_ibaq_tx,log2_int_dig,log2_int_tx
Tb927.5.4560,Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1,Tb927.5.4560:mRNA-p1;Tb11.v5.0409.1-p1;Tb05.5K5.200:mRNA-p1,4;4;4,4;4;4,4;4;4,;;,3,4,4,4,4,0,0,1,4,0,0,1,4,0,0,1,9.7,9.7,9.7,55.321000000000005,516,516;516;516,8.0,,4.0,,,,1.0,,,0.0,27.17,By MS/MS,,,By MS/MS,9.7,0.0,0.0,2.9,592540,555700,0,0,36841,21162.0,19846.0,0.0,0.0,1315.8,132020.0,0,0,0.0,3,0,0,1,4,,,,56,299;1558;4216;4241,True;True;True;True,316;1697;4628;4654,674;675;3613;10119;10160,764;765;4142;11957;12007,764;4142;11957;12007,,,"guanine deaminase, putative",,,,,-2.0,1.0,5.74484039678538,4.566331410031534,-5.365375595328562,1.716002210960485,-4.710565238123969,0.0,1.716002210960485,-5.197061546952674,1.4740230901131877
Tb927.7.2140,Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1,Tb927.7.2140:mRNA-p1;Tb07.11L3.90:mRNA-p1,6;6,6;6,6;6,;,2,6,6,6,6,0,2,2,6,0,2,2,6,0,2,2,22.6,22.6,22.6,40.864000000000004,376,376;376,8.5,2.0,6.0,,2.0,,2.0,,,0.0,37.1,By MS/MS,,By MS/MS,By MS/MS,22.6,0.0,5.6,6.1,2337800,2186600,0,74592,76633,194820.0,182220.0,0.0,6216.0,6386.0,449640.0,0,160770,131870.0,8,0,2,2,12,,,,57,1170;1778;2281;3551;4069;4913,True;True;True;True;True;True,1273;1930;2474;3885;4474;5374,2717;4157;4158;4159;5347;5348;8534;9836;11860;11861;11862;11863,3148;4799;4800;6248;6249;10041;10042;11617;14065;14066;14067;14068,3148;4800;6248;10042;11617;14067,,,"zinc finger protein family member, putative",0.307004573,14.47453969,i,red,-1.5849625007211563,1.584962500721156,6.354337440275609,4.884415827487301,-4.767254876659369,3.595866641845968,-1.4542026108067947,2.853404633461362,3.595866641845968,-4.6102164786947855,2.2321466269312493
Tb11.v5.0767,Tb11.v5.0767.1-p1;Tb927.10.4430:mRNA-p1;Tb10.v4.0033:mRNA-p1,Tb11.v5.0767.1-p1;Tb927.10.4430:mRNA-p1;Tb10.v4.0033:mRNA-p1,2;2;2,2;2;2,2;2;2,;;,3,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,6.0,6.0,6.0,55.776,503,503;572;572,2.0,,2.0,,,,,,,0.0,13.285,By MS/MS,,,,6.0,0.0,0.0,0.0,439480,439480,0,0,0,19108.0,19108.0,0.0,0.0,0.0,104410.0,0,0,0.0,2,0,0,0,2,,,,59,309;2119,True;True,326;2309,691;4973,783;5774,783;5774,,,"pumillo RNA binding protein PUF1, putative",,,,,-1.5849625007211563,0.0,5.642939115843749,-inf,-5.312055174442781,0.0,-4.386566142056399,0.0,0.0,-4.868915787039958,0.0
Tb927.10.4450,Tb927.10.4450:mRNA-p1;Tb11.v5.0757.1-p1;Tb10.v4.0035:mRNA-p1,Tb927.10.4450:mRNA-p1;Tb11.v5.0757.1-p1;Tb10.v4.0035:mRNA-p1,4;4;4,4;4;4,4;4;4,;;,3,4,4,4,4,0,1,0,4,0,1,0,4,0,1,0,17.1,17.1,17.1,28.425,257,257;257;257,3.0,4.0,,1.0,,,,,,0.0,26.92,By MS/MS,,By MS/MS,,17.1,0.0,3.5,0.0,303810,273970,0,29838,0,16878.0,15220.0,0.0,1657.6,0.0,273970.0,0,0,0.0,6,0,1,0,7,,,,60,289;2843;3237;5255,True;True;True;True,306;3084;3509;5754,645;6771;7709;7710;12728,734;7997;7998;9098;9099;9100;15188,734;7998;9098;15188,,,"stress-inducible protein STI1-like, putative",,,,,-1.8073549220576042,0.0,5.482599205702247,-inf,-2.8689159488757077,0.0,-5.734991766907318,0.0,0.0,-2.672663906660962,0.0
Tb927.10.4460,Tb927.10.4460:mRNA-p1;Tb10.v4.0036:mRNA-p1,Tb927.10.4460:mRNA-p1;Tb10.v4.0036:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,3.3,3.3,3.3,34.221,300,300;300,41.0,,,,,,,1.0,,0.0064309,6.3906,,By MS/MS,,,0.0,3.3,0.0,0.0,44071,0,44071,0,0,2448.4,0.0,2448.4,0.0,0.0,0.0,38638,0,0.0,0,2,0,0,2,,,,61,5248,True,5745,12715,15172;15173,15172,,,"leucine carboxyl methyltransferase, putative",0.164786278,14.415725400000001,i,red,0.0,-1.5849625007211563,-inf,4.644152905049394,0.0,-2.3929544295418803,0.0,0.0,-2.3929544295418803,0.0,-1.6447220621323002
Tb927.10.4330,Tb927.10.4330:mRNA-p1;Tb11.v5.1012.1-p1;Tb10.v4.0043:mRNA-p1,Tb927.10.4330:mRNA-p1;Tb11.v5.1012.1-p1;Tb10.v4.0043:mRNA-p1,1;1;1,1;1;1,1;1;1,;;,3,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,3.5,3.5,3.5,40.222,368,368;368;368,14.7,1.0,1.0,,,,,1.0,,0.00092678,7.3542,By MS/MS,By MS/MS,,,3.5,3.5,0.0,0.0,155640,126110,29530,0,0,8646.6,7006.0,1640.6,0.0,0.0,56336.0,0,0,0.0,2,1,0,0,3,,,,62,4302,True,4717,10318;10319;10320,12179;12180;12181,12180,,,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",-0.457751869,10.91943286,i,red,-1.5849625007211563,-1.0,5.10074952568986,4.470263446965078,-3.9259455546377033,-1.9446156715657008,-3.554125040173575,0.0,-1.9446156715657008,-3.1855478665168397,-1.2780586768716231
Tb927.10.4310,Tb927.10.4310:mRNA-p1;Tb10.v4.0045:mRNA-p1,Tb927.10.4310:mRNA-p1;Tb10.v4.0045:mRNA-p1,16;16,16;16,16;16,;,2,16,16,16,12,13,11,5,12,13,11,5,12,13,11,5,62.7,62.7,62.7,32.215,295,295;295,14.9,21.0,10.0,13.0,1.0,5.0,,15.0,,0.0,110.49,By MS/MS,By MS/MS,By MS/MS,By MS/MS,44.1,54.2,39.0,18.6,64914000,50366000,6658600,7542200,346940,3091100.0,2398400.0,317080.0,359150.0,16521.0,44178000.0,3991800,29262000,3949700.0,40,20,19,6,85,,,,63,407;559;854;1457;1545;1608;2073;2441;3040;3725;3774;4061;4358;4774;5149;5356,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,434;596;923;1588;1684;1752;2262;2643;2644;3293;3294;4097;4153;4465;4780;5225;5638;5864,911;1319;1320;1321;1322;1996;1997;1998;1999;2000;2001;3377;3378;3379;3587;3763;3764;4875;5768;5769;5770;5771;5772;5773;5774;5775;5776;5777;7221;7222;7223;7224;7225;7226;8975;8976;8977;8978;8979;8980;8981;8982;8983;9150;9151;9152;9153;9813;9814;10473;10474;10475;10476;10477;11469;11470;12433;12434;12435;12436;12437;12438;13002;13003;13004,1029;1542;1543;1544;1545;1546;2313;2314;2315;2316;2317;2318;2319;2320;2321;2322;3890;3891;4118;4334;4335;5657;6775;6776;6777;6778;6779;6780;6781;6782;6783;6784;6785;6786;6787;6788;6789;6790;8527;8528;8529;8530;8531;10600;10601;10602;10603;10604;10605;10606;10607;10608;10821;10822;10823;10824;10825;10826;11590;11591;11592;12358;12359;12360;12361;13576;13577;13578;13579;14839;14840;14841;14842;14843;14844;14845;14846;14847;14848;14849;15487;15488;15489;15490;15491,1029;1542;2314;3890;4118;4334;5657;6779;8530;10601;10821;11592;12358;13579;14845;15491,55;56;57;58,174;194;247;271,"prohibitin 2, putative",0.383836061,16.94327881,i,red,-1.0356239097307214,-1.5849625007211563,7.762740065672161,6.8454416171352,-2.7377300159655715,-4.215667731102448,-0.5942124757393473,7.550815635975668,-4.215667731102448,-2.7368630736351767,-4.183253395563189
Tb927.10.6950,Tb927.10.6950:mRNA-p1;Tb927.10.6910:mRNA-p1;Tb11.v5.0496.1-p1;Tb10.v4.0247:mRNA-p1,Tb927.10.6950:mRNA-p1;Tb927.10.6910:mRNA-p1;Tb11.v5.0496.1-p1;Tb10.v4.0247:mRNA-p1,5;5;5;5,5;5;5;5,5;5;5;5,;;;,4,5,5,5,5,0,1,2,5,0,1,2,5,0,1,2,14.5,14.5,14.5,40.128,359,359;359;359;359,10.8,,5.0,,1.0,,2.0,,,0.0,36.806,By MS/MS,,By MS/MS,By MS/MS,14.5,0.0,2.5,6.4,629090,535560,0,22938,70584,31454.0,26778.0,0.0,1146.9,3529.2,92023.0,0,0,83587.0,6,0,1,2,9,,,,64,693;1322;1841;2020;5793,True;True;True;True;True,745;1444;1999;2200;6353,1625;3095;4301;4302;4732;4733;4734;14130,1890;3538;3539;4960;4961;5471;5472;5473;16850,1890;3538;4960;5473;16850,59,81,"sterol 24-c-methyltransferase, putative",,,,,-1.8073549220576042,1.584962500721156,5.747021622231361,4.8487062662186755,-4.05535716065356,2.8337856108548536,-4.213627347679606,2.3065729172410214,2.8337856108548536,-3.8390580228796414,2.13960023705354
Tb927.11.13007,Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb11.v5.0537.1-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1,Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb11.v5.0537.1-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,;;;;,5,3,3,3,3,1,1,2,3,1,1,2,3,1,1,2,24.2,24.2,24.2,14.655999999999999,128,128;128;623;685;1283,16.2,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,21.541999999999998,By MS/MS,By MS/MS,By MS/MS,By MS/MS,24.2,7.0,7.0,17.2,3089000,2300000,333260,178860,276890,514830.0,383330.0,55543.0,29811.0,46149.0,950140.0,0,0,0.0,8,2,2,4,16,,,,65,1351;2573;4808,True;True;True,1475;2794;5259,3151;6175;6176;6177;6178;11550;11551;11552;11553;11554;11555;11556;11557,3606;7278;7279;7280;7281;7282;13700;13701;13702;13703;13704;13705;13706;13707;13708;13709,3606;7280;13701,,,ubiquitin-60S ribosomal protein L40,,,,,-1.5849625007211563,0.7369655941662062,6.394251999561534,5.785436615607601,-3.6628434850224894,-0.2642957745124317,-7.509707052742376,0.0,-0.2642957745124317,-3.574024234484177,-0.2502440745635295
Tb11.02.5070b,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,1,1,0,2,1,1,0,2,1,1,0,7.2,7.2,7.2,32.082,291,291;303,13.5,2.0,,1.0,,,,1.0,,0.0,13.319,By MS/MS,By MS/MS,By MS/MS,,7.2,3.8,3.8,0.0,321800,201510,95873,24418,0,21454.0,13434.0,6391.5,1627.9,0.0,201510.0,0,0,0.0,2,1,1,0,4,,,,66,269;3862,True;True,285;4253,600;601;602;9387,682;683;684;11102,682;11102,,,"hypothetical protein, conserved",,,,,-0.5849625007211563,-1.0,5.353970057799215,4.981696317264484,-2.714905387094268,-3.5970059611018645,-5.301532829358403,0.0,-3.5970059611018645,-2.440499489192852,-2.4923280138655195
